Episode,Nombre d'actions réalisées,Nombre d'action moyen,Record
0,13,13.0,14
1,6,9.5,14
2,5,8.0,14
3,4,7.0,14
4,5,6.6,14
5,4,6.166666666666667,14
6,10,6.714285714285714,14
7,4,6.375,14
8,5,6.222222222222222,14
9,8,6.4,14
10,5,6.2727272727272725,14
11,5,6.166666666666667,14
12,5,6.076923076923077,14
13,4,5.928571428571429,14
14,4,5.8,14
15,8,5.9375,14
16,10,6.176470588235294,14
17,11,6.444444444444445,14
18,4,6.315789473684211,14
19,6,6.3,14
20,8,6.380952380952381,14
21,7,6.409090909090909,14
22,8,6.478260869565218,14
23,3,6.333333333333333,14
24,5,6.28,14
25,9,6.384615384615385,14
26,8,6.444444444444445,14
27,6,6.428571428571429,14
28,5,6.379310344827586,14
29,10,6.5,14
30,9,6.580645161290323,14
31,14,6.8125,14
32,9,6.878787878787879,14
33,7,6.882352941176471,14
34,11,7.0,14
35,5,6.944444444444445,14
36,7,6.945945945945946,14
37,5,6.894736842105263,14
38,8,6.923076923076923,14
39,7,6.925,14
40,8,6.951219512195122,14
41,4,6.880952380952381,14
42,4,6.813953488372093,14
43,6,6.795454545454546,14
44,9,6.844444444444444,14
45,8,6.869565217391305,14
46,4,6.808510638297872,14
47,5,6.770833333333333,14
48,11,6.857142857142857,14
49,13,6.98,14
50,3,6.901960784313726,14
51,10,6.961538461538462,14
52,13,7.0754716981132075,14
53,7,7.074074074074074,14
54,6,7.054545454545455,14
55,13,7.160714285714286,14
56,4,7.105263157894737,14
57,6,7.086206896551724,14
58,6,7.067796610169491,14
59,12,7.15,14
